Neighbourhood,Fast Food Restaurant,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Burger King,59f71e5d61e53b2614f3a598,43.720245,-79.600272,Burger Joint
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Jimmy the Greek,4c7d1f14d65437047352bfa2,43.720283,-79.600512,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Subway,4c2231a49390c9b64a20cacd,43.68804,-79.412736,Deli
High Park,0.25,1,M6P,43.6616083,-79.4647633,Fat Bastard Burrito Co,546f7c9e498e9b5b70b88dca,43.6498758,-79.4828208,Fast Food Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Panda Express,53e39908498e03e4b6b95689,43.674053,-79.470466,Chinese Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Jumbo Burgers,4b646b24f964a52095b12ae3,43.666178,-79.482151,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,A&W Restaurant,57be1ded498edab44ddf8725,43.646031,-79.389757,American Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,King Slice,4ae35797f964a520bc9321e3,43.65593,-79.454968,Pizzeria
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,McCafé,5669c9fd498e28dcd049abbd,43.644585,-79.381066,Café
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,The Burger's Priest,5578720f498ee3b165b1f32b,43.648562,-79.387543,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,iQ Food Co,50bd1248e4b0382138bdd292,43.647128,-79.379274,Fast Food Restaurant
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,BeaverTails,55a19437498eeea53fa58b54,43.639663,-79.38005,Dessert Shop
High Park,0.25,1,M6P,43.6616083,-79.4647633,Five Guys Burgers & Fries,5498c343498ed095cce0e874,43.673886,-79.46969,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,What a Bagel,4f7dd9a6e4b09d309a47f7fe,43.647638,-79.39623,Bagel Shop
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Saffron Spice Kitchen,5209947a11d24085eb84660d,43.648465,-79.397204,Fast Food Restaurant
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Chipotle Mexican Grill,59304fea4186863fd6a112bb,43.649606,-79.391542,Fast Food Restaurant
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Taco Bell,5501f29c498e01eb24880773,43.720238,-79.600365,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,A&W Restaurant,5a8bb49167e5f2027196caf4,43.675999,-79.358892,American Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Pizza Hut,4bd76b035cf276b0623e9b00,43.700661,-79.373477,Pizzeria
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,A&W Restaurant,50353048e4b0c42300d9c847,43.706869,-79.397072,American Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Pizza Pizza,4b59169df964a520f17b28e3,43.698768,-79.396481,Pizzeria
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,The Bagel House,4bc9d5543740b713e9515f65,43.704873,-79.375036,Bagel Shop
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Panago Pizza Inc,4f21daaae4b063d4fdda6292,43.708159,-79.392456,Pizzeria
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Fit For Life,4b7ef2b1f964a520980b30e3,43.707236,-79.396662,Diner
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Patisserie la Cigogne,4b5727cef964a520942828e3,43.70657,-79.375634,Bakery
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Domino's Pizza,4bba5d947421a59380b5c340,43.641769,-79.402072,Pizzeria
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Salad Days,4ae87dbbf964a520c9af21e3,43.670468,-79.387197,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Flaming Stove,4cc9ae6141e75481dff85d84,43.698371,-79.395763,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Playa Cabana,4dd5c8762271c5d36d13e5c1,43.675966,-79.40117,Fast Food Restaurant
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Hollywood Gelato,4ad8ec59f964a5200b1621e3,43.706734,-79.375707,Ice Cream Parlor
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Pizza Pizza,4b80a2c1f964a520908230e3,43.640131,-79.381339,Pizzeria
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Subway,4ba2c7acf964a5209f1838e3,43.63956,-79.383435,Deli
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Five Guys Burgers & Fries,573b65fb498e9bcba6b1089a,43.64875,-79.381682,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Smoke's Poutinerie Inc,4ada0505f964a520591d21e3,43.648543,-79.387633,Fast Food Restaurant
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Mean Bao,5480b4ad498e73897b755aac,43.646767,-79.403571,Chinese Restaurant
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Mini Bar,4b03ff12f964a520cd5022e3,43.64709,-79.396049,Café
 Summerhill East,0.25,1,M4T,43.6895743,-79.3831599,Burger Shack,4ae65d5af964a520ada621e3,43.704728,-79.40567,Burger Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,Popeye's Louisiana Kitchen,5b9299663d479100392ebe10,43.640183,-79.381394,Fried Chicken Joint
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,iQ Food Co,4d756edfbf4fb1f74fe8722a,43.6469,-79.382416,Fast Food Restaurant
 South Niagara,0.3,1,M5V,43.6289467,-79.3944199,A&W Restaurant,50900478e4b07bfac811aa2c,43.649173,-79.395961,American Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Souvlaki Hut,4fca5cc9e4b0c1168226c1aa,43.651687,-79.474577,Fast Food Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,A&W Restaurant,5fde3bfb40687f3498120b67,43.670677,-79.472868,American Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Philthy Philly's,582ca01e70fc427af8481b3a,43.67406,-79.470373,Fast Food Restaurant
High Park,0.25,1,M6P,43.6616083,-79.4647633,Bloor Jane Physiotherapy and Active Rehabilitation,4b5328a0f964a520a59027e3,43.649578,-79.484195,Burger Joint
High Park,0.25,1,M6P,43.6616083,-79.4647633,Domino's Pizza,4d9e3f221462b1f7e4b11283,43.665288,-79.47055,Pizzeria
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,McDonald's,4bb12f6af964a52098813ce3,43.717586,-79.5701,Burger Joint
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Popeye's Louisiana Kitchen,5cbb533873fe25002c27c7b6,43.720717,-79.599975,Fried Chicken Joint
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4ba25180f964a520d1ec37e3,43.713085,-79.580182,Sandwich Spot
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4ce416f3b8df548126e7b19b,43.719288,-79.59576,Deli
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4c2278a67e85c9287d13bc21,43.720363,-79.600198,Deli
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4ca607c097c8a1cdb8336ca5,43.718954,-79.570747,Deli
High Park,0.25,1,M6P,43.6616083,-79.4647633,Subway,4dceadb4d22deadedd58116d,43.659184,-79.438097,Deli
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Bourbon St. Grill,4c8914c397828cfa5a42a1aa,43.720172,-79.600494,Diner
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4b9e610ef964a52066de36e3,43.69138,-79.576678,Deli
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Subway,4c2e13824e132d7f14799ddf,43.686998,-79.597861,Sandwich Spot
 Tandridge,0.25,1,M9W,43.7067483,-79.5940544,Domino's Pizza,4ee6ae870e61681b98595db0,43.719319,-79.594594,Pizzeria
