Neighbourhood,Pest Control Service,Cluster Labels,Postalcode,Neighbourhood Latitude,Neighbourhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
High Park,0.75,1,M6P,43.6616083,-79.4647633,Pest Control Toronto Team,5362917211d25710fe57f69e,43.661248,-79.443665,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,Exterminex Pest Control Svc,52dd432f11d2e6871ce97ba8,43.651334,-79.446422,Pest Control Service
Willowdale,0.8,1,M2M,43.789053,-79.4084928,Wildlife Control Toronto,f6b55de01e5d440247df75cf,43.789452,-79.418193,Pest Control Service
Willowdale,0.8,1,M2M,43.789053,-79.4084928,Acme Pest Solutions,d8e0fd5a614a4e0ed4af4cbf,43.774589,-79.411547,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,Bugs Heat Terminator,027cfef377b746164556f43d,43.672905,-79.443947,Pest Control Service
Willowdale,0.8,1,M2M,43.789053,-79.4084928,Animal Removal Toronto,f11564d1ebc04b56c3200bcb,43.78895,-79.417363,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,Bed Bug Exterminator Pro,57c7076f498e500d301f8228,43.656958,-79.448588,Pest Control Service
Dorset Park,0.8333333333333334,1,M1P,43.7574096,-79.273304,GTA Toronto Pest Control – Scarborough,59dcd8c93731ee14819ac0a9,43.75242,-79.262201,Home Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Budget Pest Control,997ca80e81884a4869c77def,43.694954,-79.339768,Pest Control Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Four Seasons Wild Life Removal,56cc350bcd108dd03310ed43,43.705454,-79.300759,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Armour Pest Control Ltd,514095acfe70b1a926e965e3,43.679625,-79.32808,Pest Control Service
Willowdale,0.8,1,M2M,43.789053,-79.4084928,360 Wildlife | Wildlife Removal Toronto,4cfef5e34f6542c163e74718,43.78895,-79.417363,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
Willowdale,0.8,1,M2M,43.789053,-79.4084928,ICE Pest Control & Wildlife,f2ac158fe77541f2af318960,43.801285,-79.392275,General Contractor
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,IPM Pest Control Svc,52a4cd6811d2bf98da8a77b6,43.655964,-79.392883,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Addison Pest Control,590cd35ab0405629414dff7f,43.655858,-79.393567,Home Inspection
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,TKMT,4c22c357fbe5c9b6c8839a21,43.647117,-79.404935,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Wildlife Shield- Wildlife Removal Toronto,23262a68194b4ff5a4c96598,43.653243,-79.363043,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Heatsolete,5047b53ac84c402c83c17617,43.65552,-79.364152,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Raccoon Control,ffee32e578b590e1447cb7ab,43.658986,-79.369004,Pest Control Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Pest R Gone - Pest Control Toronto,5a49594614514bdd599a6fa9,43.654218,-79.380589,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,Pest Control Toronto Exterminator,9f963ed8e3bb4959f3d12255,43.665235,-79.468203,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,Pest Control Toronto,57715064498ec3ff9146ab02,43.665764,-79.450236,Home Service
Harbourfront East,0.7857142857142857,1,M5J,43.6408157,-79.3817523,Pest control exterminator NY,68e6f8cd52964666252a57d6,43.655799,-79.393604,Pest Control Service
High Park,0.75,1,M6P,43.6616083,-79.4647633,SWAT Wildlife,4f8e92e7e4b0036b6f308fd9,43.654321,-79.440122,Pest Control Service
Dufferin,0.7142857142857143,1,M6H,43.6690051,-79.4422593,Pest Control Toronto,57715064498ec3ff9146ab02,43.665764,-79.450236,Home Service
Dorset Park,0.8333333333333334,1,M1P,43.7574096,-79.273304,Greater Toronto Pest Control,a895260eb50d4614e91f0d49,43.765673,-79.260716,Pest Control Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,Liddle Rascals,56054cf6498e9a2538bf8eec,43.72086,-79.247896,Pest Control Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,CBC Pest Control and Wildlife,5d12e6f2af35f3002504c8d9,43.729045,-79.244165,Home Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,Bird Barrier Systems,57ab17a2c9f24bc228b6c9e9,43.709407,-79.261223,Pest Control Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,Pigeon Tom,0cdb6a4951364067f18669b1,43.712646,-79.247314,Pest Control Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,Liddle Rascals Wildlife Control,b04d52d5aebf462a72bc0bf9,43.721024,-79.247968,Pest Control Service
Kennedy Park,0.8333333333333334,1,M1K,43.7279292,-79.2620294,Empire Wildlife Removal & Pest Control Svc,7ccba10d2ab041a1b5eccf03,43.720749,-79.247878,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Pest control exterminator NY,68e6f8cd52964666252a57d6,43.655799,-79.393604,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Addison Pest Control,590cd35ab0405629414dff7f,43.655858,-79.393567,Home Inspection
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,IPM Pest Control Svc,52a4cd6811d2bf98da8a77b6,43.655964,-79.392883,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,TKMT,4c22c357fbe5c9b6c8839a21,43.647117,-79.404935,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Pest Control Guys,8a085c7e855840f5fc5c4416,43.645626,-79.393011,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Naylor Pest Control,0d2f25c63a054660ae2fd69d,43.666703,-79.405023,Pest Control Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,Merkem Pest Solutions,589bd7aa0bc55b5f8ef35448,43.661951,-79.424793,Home Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,Pest Control Guys,8a085c7e855840f5fc5c4416,43.645626,-79.393011,Pest Control Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,Quest Pest Management,9d648bfa2f4a4bf41ed7d037,43.671627,-79.420683,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Icon Wildlife Removal & Pest Control,5cd1813dd9a6e6002b4d9142,43.653493,-79.38052,Home Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Speedy Pest Control,5049400f2a4d4ce72ed38166,43.649557,-79.421547,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,My Pest Control,59a00c89002f4c45dfe94e79,43.669518,-79.39177,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Greenleaf Pest Control,545a9566498e607c73a235a0,43.649765,-79.376188,Pest Control Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Merkem Pest Solutions,589bd7aa0bc55b5f8ef35448,43.661951,-79.424793,Home Service
Kensington Market,0.7647058823529411,1,M5T,43.6532057,-79.4000493,Allied Pest Control,008a553048694b51c7a1dea0,43.649346,-79.428291,Pest Control Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,Bed Bug Exterminator Toronto,572f83c1498e351823f03aa2,43.650991,-79.380964,Home Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,911 Bed Bugs,567cde2d498ef1c03ba6dcce,43.669321,-79.375136,Pest Control Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,Speedy Pest Control,5049400f2a4d4ce72ed38166,43.649557,-79.421547,Pest Control Service
University of Toronto,0.8,1,M5S,43.6626956,-79.4000493,The Bed Bug Tracker,c2b0eedcbd974c4e7b1a4990,43.649759,-79.37628,Pest Control Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Mosquito Toronto,5cc12a0b826444002c1a3b8f,43.691999,-79.291061,Home Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Sande Wildlife Control,5159ad4011fa4701319694a4,43.677097,-79.303125,Pest Control Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Bugs R Us - Termite & Bed Bug Control Toronto,56129e8b498eff75ac9b02aa,43.682529,-79.294718,Pest Control Service
Weston,0.6666666666666666,1,M9N,43.706876,-79.5181884,Gotcha Wildlife,f295857ee251479787f0b58b,43.685025,-79.512986,Pest Control Service
Weston,0.6666666666666666,1,M9N,43.706876,-79.5181884,Affordable Pest Control & Bee Removal,364abce46b114902f69cceec,43.722643,-79.501013,Pest Control Service
Weston,0.6666666666666666,1,M9N,43.706876,-79.5181884,Gemini Designs Inc,8582a5adc42a4581f5ca6128,43.716991,-79.524352,Carpet and Flooring Contractor
Westmount,0.6666666666666666,1,M9P,43.696319,-79.5322424,Gotcha Wildlife,f295857ee251479787f0b58b,43.685025,-79.512986,Pest Control Service
Westmount,0.6666666666666666,1,M9P,43.696319,-79.5322424,Gemini Designs Inc,8582a5adc42a4581f5ca6128,43.716991,-79.524352,Carpet and Flooring Contractor
Westmount,0.6666666666666666,1,M9P,43.696319,-79.5322424,Metro King Pest Control,bb6cb9b3d2104b4612643347,43.694991,-79.556769,Pest Control Service
Woodbine Heights,0.75,1,M4C,43.6953439,-79.3183887,Pigeon Busters,06eda8542061473a381a2925,43.673869,-79.319921,Pest Control Service
